,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/gw-ac-ts-018-2_2.jpg,,,, , , , , , ,, ,  ,,
white-graduation-jumbo-tassel,White Graduation Jumbo Tassel, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/white_jumbo_tassel_2018.jpg,7.95,"<p><b>White Jumbo Tassel.</b> Looking for a bit extra from your tassel? The jumbo tassel is the right choice for you. This extra full tassel will give you a more prestigious and distinctive look. Each jumbo tassel is 9"" long and includes a hang loop allows easy attachment to a graduation cap. The jumbo tassel also comes with a year drop signet to mark your special year of graduation! Order one now to look the part on graduation day!</p> ",White Jumbo Tassel. Looking for a bit extra from your tassel? The jumbo tassel is the right choice for you, White Jumbo Tassel | Elementary Accessories | Graduation World, graduationworld, tassel, caps_with_tassel, Apparel & Accessories > Clothing, Default, TRUE,1, FALSE, active ,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/1white_jumbo_tassel_2018.jpg,,,, , , , , , ,, ,  ,,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/white_jumbo_tassel_bling_18.jpg,,,, , , , , , ,, ,  ,,
silver-graduation-jumbo-tassel,Silver Graduation Jumbo Tassel, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/silver_jumbo_tassel_bling_18.jpg,7.95,"<p><b>Silver Jumbo Tassel.</b> Looking for a bit extra from your tassel? The jumbo tassel is the right choice for you. This extra full tassel will give you a more prestigious and distinctive look. Each jumbo tassel is 9"" long and includes a hang loop allows easy attachment to a graduation cap. The jumbo tassel also comes with a year drop signet to mark your special year of graduation! Order one now to look the part on graduation day!</p> ",Silver Jumbo Tassel. Looking for a bit extra from your tassel? The jumbo tassel is the right choice for you, Silver Jumbo Tassel | Elementary Accessories | Graduation World, graduationworld, tassel, caps_with_tassel, Apparel & Accessories > Clothing, Default, TRUE,1, FALSE, active ,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/silver_jumbo_tassel_2018.jpg,,,, , , , , , ,, ,  ,,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/1silver_jumbo_tassel_2018.jpg,,,, , , , , , ,, ,  ,,
light-blue-graduation-jumbo-tassel,Light Blue Graduation Jumbo Tassel, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/light_blue_jumbo_tassel_2018.jpg,7.95,"<p><b>Light Blue Jumbo Tassel.</b> Looking for a bit extra from your tassel? The jumbo tassel is the right choice for you. This extra full tassel will give you a more prestigious and distinctive look. Each jumbo tassel is 9"" long and includes a hang loop allows easy attachment to a graduation cap. The jumbo tassel also comes with a year drop signet to mark your special year of graduation! Order one now to look the part on graduation day!</p> ",Light Blue Jumbo Tassel. Looking for a bit extra from your tassel? The jumbo tassel is the right choice for you, Light Blue Jumbo Tassel | Elementary Accessories | Graduation World, graduationworld, tassel, caps_with_tassel, Apparel & Accessories > Clothing, Default, TRUE,1, FALSE, active ,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/light_blue_jumbo_tassel_bling_18.jpg,,,, , , , , , ,, ,  ,,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/1light_jumbo_tassel_2018.jpg,,,, , , , , , ,, ,  ,,
royal-blue-graduation-jumbo-tassel,Royal Blue Graduation Jumbo Tassel, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/royal_blue_jumbo_tassel_bling_18.jpg,7.95,"<p><b>Royal Blue Jumbo Tassel.</b> Looking for a bit extra from your tassel? The jumbo tassel is the right choice for you. This extra full tassel will give you a more prestigious and distinctive look. Each jumbo tassel is 9"" long and includes a hang loop allows easy attachment to a graduation cap. The jumbo tassel also comes with a year drop signet to mark your special year of graduation! Order one now to look the part on graduation day!</p> ",Royal Blue Jumbo Tassel. Looking for a bit extra from your tassel? The jumbo tassel is the right choice for you, Royal Blue Jumbo Tassel | Elementary Accessories | Graduation World, graduationworld, tassel, caps_with_tassel, Apparel & Accessories > Clothing, Default, TRUE,1, FALSE, active ,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/royal_blue_jumbo_tassel_2018.jpg,,,, , , , , , ,, ,  ,,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/1royal_blue_jumbo_tassel_2018.jpg,,,, , , , , , ,, ,  ,,
navy-blue-graduation-jumbo-tassel,Navy Blue Graduation Jumbo Tassel, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/1navy_blue_jumbo_tassel_2018.jpg,7.95,"<p><b>Navy Blue Jumbo Tassel.</b> Looking for a bit extra from your tassel? The jumbo tassel is the right choice for you. This extra full tassel will give you a more prestigious and distinctive look. Each jumbo tassel is 9"" long and includes a hang loop allows easy attachment to a graduation cap. The jumbo tassel also comes with a year drop signet to mark your special year of graduation! Order one now to look the part on graduation day!</p> ",Navy Blue Jumbo Tassel. Looking for a bit extra from your tassel? The jumbo tassel is the right choice for you, Navy Blue Jumbo Tassel | Elementary Accessories | Graduation World, graduationworld, tassel, caps_with_tassel, Apparel & Accessories > Clothing, Default, TRUE,1, FALSE, active ,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/navy_jumbo_tassel_bling_18.jpg,,,, , , , , , ,, ,  ,,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/navy_jumbo_tassel_2018.jpg,,,, , , , , , ,, ,  ,,
purple-graduation-jumbo-tassel,Purple Graduation Jumbo Tassel, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/purple_jumbo_tassel_2018.jpg,7.95,"<p><b>Purple Jumbo Tassel.</b> Looking for a bit extra from your tassel? The jumbo tassel is the right choice for you. This extra full tassel will give you a more prestigious and distinctive look. Each jumbo tassel is 9"" long and includes a hang loop allows easy attachment to a graduation cap. The jumbo tassel also comes with a year drop signet to mark your special year of graduation! Order one now to look the part on graduation day!</p> ",Purple Jumbo Tassel. Looking for a bit extra from your tassel? The jumbo tassel is the right choice for you, Purple Jumbo Tassel | Elementary Accessories | Graduation World, graduationworld, tassel, caps_with_tassel, Apparel & Accessories > Clothing, Default, TRUE,1, FALSE, active ,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/1purple_jumbo_tassel_2018.jpg,,,, , , , , , ,, ,  ,,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/purple_jumbo_tassel_bling_18.jpg,,,, , , , , , ,, ,  ,,
gold-graduation-jumbo-tassel,Gold Graduation Jumbo Tassel, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/gold_jumbo_tassel_bling_18.jpg,7.95,"<p><b>Gold Jumbo Tassel.</b> Looking for a bit extra from your tassel? The jumbo tassel is the right choice for you. This extra full tassel will give you a more prestigious and distinctive look. Each jumbo tassel is 9"" long and includes a hang loop allows easy attachment to a graduation cap. The jumbo tassel also comes with a year drop signet to mark your special year of graduation! Order one now to look the part on graduation day!</p> ",Gold Jumbo Tassel. Looking for a bit extra from your tassel? The jumbo tassel is the right choice for you, Gold Jumbo Tassel | Elementary Accessories | Graduation World, graduationworld, tassel, caps_with_tassel, Apparel & Accessories > Clothing, Default, TRUE,1, FALSE, active ,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/1gold_jumbo_tassel_2018.jpg,,,, , , , , , ,, ,  ,,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/gold_jumbo_tassel_2018.jpg,,,, , , , , , ,, ,  ,,
