name,color,description
Child Navy Blue Graduation Cap with Tassel,Navy Blue,Child Navy Blue Cap with Tassel  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   
Child Purple Graduation Cap with Tassel,Purple,Child Purple Cap with Tassel  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   
Child Gold Graduation Cap with Tassel,Gold,Child Gold Cap with Tassel  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   
Child Orange Graduation Cap with Tassel,Orange,Child Orange Cap with Tassel  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   
Child Pink Graduation Cap with Tassel,Pink,Child Pink Cap with Tassel  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   
Child Red Graduation Cap with Tassel,Red,Child Red Cap with Tassel  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   
Child Maroon Graduation Cap with Tassel,Maroon,Child Maroon Cap with Tassel  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   
Child Brown Graduation Cap with Tassel,Brown,Child Brown Cap with Tassel  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   
Child Green Graduation Cap with Tassel,Green,Child Green Cap with Tassel  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   
Child Emerald Green Graduation Cap with Tassel,Green,Child Emerald Green Cap with Tassel  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   
